Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Region Name,Population,Population_male,Population_female,GDP_per_capita
Lung,Male,Incidence,2007,61.43411062,80.95892825,7.865065011,3666,Belarus,13,31,0,11,17,2024,Eastern Europe,9563133.0,4450421.0,5112713.0,4735.48107556066
Lung,Male,Incidence,2008,62.72997436,84.93060391,8.033256953,3765,Belarus,13,31,0,11,17,2024,Eastern Europe,9529358.0,4432534.0,5096824.0,6376.17569162063
Lung,Male,Incidence,2009,61.0989897,84.1062294,7.731975766,3719,Belarus,13,31,0,11,17,2024,Eastern Europe,9507337.0,4421224.0,5086114.0,5352.48809190697
Lung,Male,Incidence,2010,62.58233408,86.37674263,7.914747038,3812,Belarus,13,31,0,11,17,2024,Eastern Europe,9490752.0,4412608.0,5078144.0,6034.67885177216
Lung,Male,Incidence,2011,59.75500074,83.23440967,7.621488144,3665,Belarus,13,31,0,11,17,2024,Eastern Europe,9472735.0,4402539.0,5070196.0,6527.6593428786
Lung,Male,Incidence,2012,56.76690552,79.65147081,7.189208286,3503,Belarus,13,31,0,11,17,2024,Eastern Europe,9463076.0,4397152.0,5065925.0,6953.21591683101
Lung,Male,Incidence,2013,56.22706703,80.14842572,7.200252903,3500,Belarus,13,31,0,11,17,2024,Eastern Europe,9464453.0,4398658.0,5065794.0,7998.0802045456
Lung,Male,Incidence,2014,59.38948574,85.60120826,7.616122148,3739,Belarus,13,31,0,11,17,2024,Eastern Europe,9472708.0,4404484.0,5068224.0,8341.31809294883
Lung,Male,Incidence,2015,58.4264134,85.68037812,7.42904268,3747,Belarus,13,31,0,11,17,2024,Eastern Europe,9487293.0,4414172.0,5073122.0,5967.05595058777
Lung,Male,Incidence,2016,57.68154388,85.89775837,7.384688933,3760,Belarus,13,31,0,11,17,2024,Eastern Europe,9499064.0,4422811.0,5076252.0,5039.77560949445
Lung,Male,Incidence,2017,59.79107545,90.59460572,7.563616271,3961,Belarus,13,31,0,11,17,2024,Eastern Europe,9495790.0,4423272.0,5072517.0,5785.54491935194
Lung,Female,Incidence,2007,5.52521386,10.72693024,0.6470856123,555,Belarus,13,31,0,11,17,2024,Eastern Europe,9563133.0,4450421.0,5112713.0,4735.48107556066
Lung,Female,Incidence,2008,5.572087486,10.89313073,0.6495304449,555,Belarus,13,31,0,11,17,2024,Eastern Europe,9529358.0,4432534.0,5096824.0,6376.17569162063
Lung,Female,Incidence,2009,5.413262531,10.89484001,0.6674619581,554,Belarus,13,31,0,11,17,2024,Eastern Europe,9507337.0,4421224.0,5086114.0,5352.48809190697
Lung,Female,Incidence,2010,5.80548943,12.07320815,0.6899269927,613,Belarus,13,31,0,11,17,2024,Eastern Europe,9490752.0,4412608.0,5078144.0,6034.67885177216
Lung,Female,Incidence,2011,5.267050992,10.74962352,0.6376244947,545,Belarus,13,31,0,11,17,2024,Eastern Europe,9472735.0,4402539.0,5070196.0,6527.6593428786
Lung,Female,Incidence,2012,5.732429509,11.34886714,0.6904890612,575,Belarus,13,31,0,11,17,2024,Eastern Europe,9463076.0,4397152.0,5065925.0,6953.21591683101
Lung,Female,Incidence,2013,5.297740965,10.61794259,0.6430161528,539,Belarus,13,31,0,11,17,2024,Eastern Europe,9464453.0,4398658.0,5065794.0,7998.0802045456
Lung,Female,Incidence,2014,5.904266081,12.24268224,0.7264255643,622,Belarus,13,31,0,11,17,2024,Eastern Europe,9472708.0,4404484.0,5068224.0,8341.31809294883
Lung,Female,Incidence,2015,6.135968698,12.46106899,0.772077185,634,Belarus,13,31,0,11,17,2024,Eastern Europe,9487293.0,4414172.0,5073122.0,5967.05595058777
Lung,Female,Incidence,2016,5.928251935,12.17576622,0.7280592727,620,Belarus,13,31,0,11,17,2024,Eastern Europe,9499064.0,4422811.0,5076252.0,5039.77560949445
Lung,Female,Incidence,2017,6.437349815,13.28939184,0.779458985,676,Belarus,13,31,0,11,17,2024,Eastern Europe,9495790.0,4423272.0,5072517.0,5785.54491935194
Lung,Male,Incidence,2007,40.87033854,67.47732762,4.957294214,8100,Canada,52,296,0,14,52,2025,Northern America,33092171.000000004,16396809.000000002,16695362.000000002,44660.0838892281
Lung,Male,Incidence,2008,39.18428509,65.6445346,4.764900071,7962,Canada,52,296,0,14,52,2025,Northern America,33449085.0,16572555.0,16876530.0,46710.2526864484
